KODE, NAMA PRODUK, KODE GENUS, KONDISI, GRADE, QTY PANEN, ALOKASI, TERDISTRIBUSI, QTY, ESTIMASI BULAN PANEN, STATUS
AD1503, Den. Jalibang x Den. Yosie Beauty, AD, Pembesaran Seedling, -, 393, 100, 0, 293, November 2026, Belum
AD1489, Den. Dirumahaja 'Yellow' #1 x Den. violaceoflavens 'Mini', AD, Pembesaran Seedling, -, 985, 100, 0, 885, November 2026, Belum
AP186, Phal. Rothschildiana x Phal. x Intermedia, AP, Pembesaran Seedling, -, 95, 100, 0, -5, September 2026, Belum
AD1476, Den. percnanthum, AD, Pembesaran Seedling, -, 185, 100, 0, 85, November 2026, Belum
AD1490, Den. nindii, AD, Pembesaran Seedling, -, 1.056, 100, 0, 956, November 2026, Belum
AD1492, Den. Singosari 'Red' x Den. SR Nathan, AD, Pembesaran Seedling, -, 210, 100, 0, 110, Januari 2027, Belum
AD1502, Den. SR Nathan x Den. Wira Pride #1, AD, Pembesaran Seedling, -, 645, 100, 0, 545, Januari 2027, Belum
AD1487, Den. Ly's Pride #1 x Den. SR Nathan, AD, Pembesaran Seedling, -, 1.275, 100, 0, 1.175, Januari 2027, Belum
AD1510, Den. Michiko x Den. Unisma Malang, AD, Pembesaran Seedling, -, 105, 100, 0, 5, Januari 2027, Belum
AD1501, Den. Jeffrey Tan x Den. Yosie Beauty, AD, Pembesaran Seedling, -, 740, 100, 0, 640, Januari 2027, Belum
AD1499, Den. Michiko x Den. Nakhla Argani, AD, Pembesaran Seedling, -, 915, 100, 0, 815, Januari 2027, Belum
AD1559, Den. Anusopati x Den. Espresso, AD, Pembesaran Seedling, -, 555, 100, 0, 455, Februari 2027, Belum
AD1576, Den. antennatum var. d'albertisi x Den. macrantum var. pink, AD, Pembesaran Seedling, -, 340, 100, 0, 240, Februari 2027, Belum
AD1537, Den. Anusopati x Den. Black Bull, AD, Pembesaran Seedling, -, 343, 100, 0, 243, Februari 2027, Belum
AC262, C. amethystoglossa x Selfing, AC, Pembesaran Seedling, -, 952, 100, 0, 852, November 2026, Belum
ALL84, Onc. Hwuluduen Wasp 'Queen Bee' x Rdza. venusta, ALL, Pembesaran Seedling, -, 335, 100, 0, 235, Maret 2027, Belum
AD1522, Den. shiraishii x Den. Unisma Malang, AD, Pembesaran Seedling, -, 112, 100, 0, 12, Januari 2027, Belum
AD1509, Den. helix 'Thalacea' x Den. Indirawati, AD, Pembesaran Seedling, -, 60, 100, 0, -40, Januari 2027, Belum
AD1480, Den. helix 'Pomeo Brown' x Den. Yosie Beauty, AD, Pembesaran Seedling, -, 833, 100, 0, 733, Januari 2027, Belum
AC266, Laeliocatanthe Infatuation, AC, Pembesaran Seedling, -, 849, 100, 0, 749, November 2026, Belum
AC268, Ctt. Chocolate Drop x Rth. Nell Hammer, AC, Pembesaran Seedling, -, 369, 100, 0, 269, November 2026, Belum
ADB125, Den. Stefanie Sun x Den. violaceoflavens 'Mini', ADB, Pembesaran Seedling, -, 716, 100, 0, 616, Maret 2027, Belum
AD1519, Den. Lingkar Wilis x Den. Pink Lips #2, AD, Pembesaran Seedling, -, 232, 100, 0, 132, Maret 2027, Belum
AD1498, Den. Hidayatul Husna x Den. Jalibang, AD, Pembesaran Seedling, -, 904, 100, 0, 804, Maret 2027, Belum
AD1472, Den. Numinbah Beauty-Den. Batavia Blues x Selfing, AD, Pembesaran Seedling, -, 206, 100, 0, 106, Maret 2027, Belum
AD1528, Den. Espresso x Den. Husmadi, AD, Pembesaran Seedling, -, 353, 100, 0, 253, Maret 2027, Belum
AD1534, Den. Henry Eksan x Den. Jayanagara, AD, Pembesaran Seedling, -, 260, 100, 0, 160, Maret 2027, Belum
AD1529, Den. Maharaja Dermasatia x Den. Wishnu, AD, Pembesaran Seedling, -, 370, 100, 0, 270, Maret 2027, Belum
AD1504, Den. Dr Ririe Rengganis x Den. violaceoflavens 'Mini', AD, Pembesaran Seedling, -, 875, 100, 0, 775, Maret 2027, Belum
AC272, Rth. Netrasiri Starbright 'Malaysia' x Selfing, AC, Pembesaran Seedling, -, 555, 100, 0, 455, Desember 2026, Belum
AC275, Ctt. Chocolate Drop x Rlc. Haadyai Delight, AC, Pembesaran Seedling, -, 590, 100, 0, 490, Desember 2026, Belum
AC281, C. schilleriana x C. Tainan City, AC, Pembesaran Seedling, -, 740, 100, 0, 640, Desember 2026, Belum
AD1556, Den. Henry Eksan x Den. Wishnu, AD, Pembesaran Seedling, -, 256, 100, 0, 156, Maret 2027, Belum
AD1573, Den. leporinum x Den. trilamellatum, AD, Pembesaran Seedling, -, 540, 100, 0, 440, April 2027, Belum
AD1544, Den. leporinum-Den. taurinum x Selfing, AD, Pembesaran Seedling, -, 374, 100, 0, 274, April 2027, Belum
AD1563, Den. Espresso x Den. Henry Eksan, AD, Pembesaran Seedling, -, 529, 100, 0, 429, April 2027, Belum
AD1562, Den. Ly's Pride #1 x Selfing, AD, Pembesaran Seedling, -, 470, 100, 0, 370, April 2027, Belum
AD1539, Den. Anusopati x Den. Henry Eksan, AD, Pembesaran Seedling, -, 227, 100, 0, 127, April 2027, Belum
AD1523, Den. helix 'WR' x Den. mirbelianum var. kaimana sunset, AD, Pembesaran Seedling, -, 275, 100, 0, 175, April 2027, Belum
ADB126, Den. Liberty x Den. Suriya Gold-Den. Queen Pink, ADB, Pembesaran Seedling, -, 293, 100, 0, 193, April 2027, Belum
AD1560, Dendrobium Bethesda Frankelites, AD, Pembesaran Seedling, -, 153, 100, 0, 53, April 2027, Belum
AD1567, Den. Anusopati x Den. Ly's Pride #1, AD, Pembesaran Seedling, -, 65, 100, 0, -35, April 2027, Belum
AD1572, Den. Anusopati x Den. Black Bull, AD, Pembesaran Seedling, -, 433, 100, 0, 333, April 2027, Belum
AD1550, Den. Black Bull x Den. Dr Ririe Rengganis, AD, Pembesaran Seedling, -, 284, 100, 0, 184, April 2027, Belum
AD1548, Den. Anusopati x Den. Black Spider, AD, Pembesaran Seedling, -, 135, 100, 0, 35, April 2027, Belum
AD1557, Den. Black Bull x Den. Henry Eksan, AD, Pembesaran Seedling, -, 393, 100, 0, 293, April 2027, Belum
AD1512, Den. violaceoflavens 'Mini' x Den. Yanny Rahmasari, AD, Pembesaran Seedling, -, 750, 100, 0, 650, April 2027, Belum
